City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Muli,MV,82.58,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
407,Siva,EG,83.53,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
409,Wenling,CN,79.05,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
410,Bonthe,SL,75.99,moderate rain,7.5264,-12.505,Bonthe Holiday Village
417,Upata,VE,76.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
418,Caucaia,BR,77.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
420,Portland,US,86.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
423,Hilton Head Island,US,81.99,scattered clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
427,Dzaoudzi,YT,78.69,scattered clouds,-12.7887,45.2699,Le Rocher
431,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
433,Dingle,PH,84.43,clear sky,10.9995,122.6711,SEGAYA PROPERTY
437,Adrar,MR,89.92,clear sky,20.5022,-10.0711,
438,Udachnyy,RU,83.03,clear sky,66.4167,112.4,Severnoye Siyaniye
439,Jahazpur,IN,87.1,clear sky,25.6167,75.2833,Hotel Janaki Palace and Guest House
445,Virginia Beach,US,75.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
448,Aripuana,BR,75.65,clear sky,-9.1667,-60.6333,
449,Bardiyah,LY,75.0,clear sky,31.7561,25.0865,بورتو بردية
450,Siocon,PH,84.29,scattered clouds,7.7061,122.1353,ABS Hotel
463,Kitimat,CA,80.98,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
472,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
473,Funadhoo,MV,82.92,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
474,Sulangan,PH,84.13,clear sky,11.1373,123.7228,Maia's Beach Resort
480,North Myrtle Beach,US,79.38,clear sky,33.816,-78.68,Avista Resort
482,Havelock,US,78.8,clear sky,34.8791,-76.9013,Sherwood Motel
483,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
486,Kirkwood,US,87.39,broken clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
489,Dobson,US,80.28,clear sky,36.3957,-80.7226,
492,Dubuque,US,83.23,clear sky,42.4833,-90.8668,American Inn and Suites
493,Tomatlan,MX,77.7,overcast clouds,19.9333,-105.25,El Salvial
496,Cortez,US,84.96,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
497,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
498,Tabuk,PH,82.58,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
503,Lakatoro,VU,80.46,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
504,Mogadishu,SO,77.25,overcast clouds,2.0371,45.3438,Hotel Juba
505,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
507,Dano,BF,77.09,overcast clouds,11.15,-3.0667,Auberge Phenix32-Dano
515,Taft,IR,78.75,clear sky,31.7471,54.2088,عمارت ساعتی تفت
516,Nicoya,CR,75.09,light rain,10.1483,-85.452,Las Cabinas Del Sueño
517,Ambon,ID,82.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
518,Umm Kaddadah,SD,81.63,overcast clouds,13.6017,26.6876,
522,San Pedro,PH,86.27,light rain,14.35,121.0167,Esquivel's Garden And Resort
523,Tawau,MY,80.73,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
525,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
526,Aloleng,PH,83.5,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
527,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
530,Gibara,CU,78.12,broken clouds,21.1097,-76.1317,Sol y Mar
