City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Mahebourg,MU,-20.4081,57.7,70.25,52,40,17.27,scattered clouds
114,Guisa,CU,20.255,-76.5386,74.66,90,80,3.22,broken clouds
115,Cabo San Lucas,MX,22.8909,-109.9124,88.9,48,0,14.97,clear sky
116,Sorbhog,IN,26.5,90.8667,77.47,93,100,4.63,overcast clouds
117,Asyut,EG,27.181,31.1837,86.27,27,0,6.26,clear sky
118,Gunjur,GM,13.2019,-16.7339,78.87,94,40,0.0,light thunderstorm
119,Bubaque,GW,11.2833,-15.8333,81.21,81,92,13.49,overcast clouds
120,Pangnirtung,CA,66.1451,-65.7125,45.79,77,100,0.89,light rain
121,Broome,US,42.2506,-75.833,75.09,72,2,4.18,clear sky
122,Gaoua,BF,10.2992,-3.2508,76.68,80,55,3.2,broken clouds
123,Tuatapere,NZ,-46.1333,167.6833,49.21,95,100,3.89,light rain
124,Arinos,BR,-15.9169,-46.1056,66.63,47,1,3.13,clear sky
125,Edd,ER,13.9297,41.6925,89.96,62,90,2.73,overcast clouds
126,Kombissiri,BF,12.0656,-1.3375,81.81,63,70,12.93,broken clouds
127,Provideniya,RU,64.3833,-173.3,43.59,93,100,6.35,light rain
128,Port Lincoln,AU,-34.7333,135.8667,57.31,73,28,10.27,scattered clouds
129,Nizhniy Kuranakh,RU,58.8353,125.4869,74.62,50,5,3.42,clear sky
130,Winsum,NL,53.33,6.5208,64.38,93,66,6.4,broken clouds
131,Ardesen,TR,41.1911,40.9875,67.86,73,100,2.48,overcast clouds
132,Huilong,CN,31.8111,121.655,83.93,74,1,12.06,clear sky
133,Katsuura,JP,35.1333,140.3,78.51,86,61,25.1,broken clouds
134,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,88,40,10.18,scattered clouds
135,Evensk,RU,61.95,159.2333,45.18,95,100,2.39,light rain
136,Rincon,US,32.296,-81.2354,80.91,77,40,13.8,scattered clouds
137,Hasaki,JP,35.7333,140.8333,88.2,77,3,22.57,clear sky
138,Longyearbyen,SJ,78.2186,15.6401,42.64,52,0,16.11,clear sky
139,Puerto Ayora,EC,-0.7393,-90.3518,75.16,96,78,4.0,broken clouds
140,San Policarpo,PH,12.1791,125.5072,82.53,78,22,0.81,few clouds
141,Aksarka,RU,66.5606,67.7975,51.01,80,85,19.95,light rain
142,Vostok,RU,46.4856,135.8833,64.06,90,99,2.04,overcast clouds
143,Fallon,US,39.4735,-118.7774,92.91,11,40,3.44,scattered clouds
144,Beira,MZ,-19.8436,34.8389,64.49,100,40,0.0,scattered clouds
145,San Ignacio,BZ,17.1561,-89.0714,89.74,58,20,0.0,few clouds
146,Padang,ID,-0.9492,100.3543,73.45,90,100,2.48,light rain
147,Balancan,MX,17.8,-91.5333,83.37,75,68,3.38,broken clouds
148,Santa Maria,BR,-29.6842,-53.8069,56.5,100,100,3.44,mist
149,Nemuro,JP,43.3236,145.575,59.85,98,100,16.04,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,50.34,52,97,17.07,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,62.56,94,0,3.44,clear sky
152,Tacoronte,ES,28.4769,-16.4102,63.39,87,75,21.99,broken clouds
153,Kuala Kedah,MY,6.1,100.3,76.98,94,20,2.3,few clouds
154,Namibe,AO,-15.1961,12.1522,66.38,58,0,6.4,clear sky
155,Severo-Kurilsk,RU,50.6789,156.125,51.67,74,100,1.5,overcast clouds
156,Llandrindod Wells,GB,52.2416,-3.3787,52.95,85,92,20.71,light rain
157,Khudumelapye,BW,-23.8833,24.75,51.06,61,31,10.42,light rain
158,Richards Bay,ZA,-28.783,32.0377,63.54,76,44,12.68,light rain
159,Benguela,AO,-12.5763,13.4055,66.92,86,0,3.62,clear sky
160,Rudnichnyy,RU,59.617,52.4703,51.85,97,54,5.68,broken clouds
161,Otofuke,JP,42.9917,143.2003,76.15,77,62,7.2,broken clouds
162,Alofi,NU,-19.0595,-169.9187,75.09,73,78,18.41,broken clouds
163,Hamilton,US,39.1834,-84.5333,83.25,53,0,4.61,clear sky
164,Palaikastron,GR,35.2,26.25,73.08,74,0,15.75,clear sky
165,Jamestown,US,42.097,-79.2353,74.84,38,0,3.44,clear sky
166,Bongabon,PH,15.6321,121.1448,83.08,73,14,2.21,few clouds
167,Souillac,MU,-20.5167,57.5167,70.18,52,40,17.27,scattered clouds
168,Yulara,AU,-25.2406,130.9889,57.76,41,39,12.12,scattered clouds
169,Langsa,ID,4.4683,97.9683,74.03,94,99,2.46,overcast clouds
170,Jarabacoa,DO,19.1218,-70.6422,79.88,83,75,4.81,broken clouds
171,Innisfail,AU,-17.5333,146.0333,72.16,78,43,7.07,scattered clouds
172,Nanortalik,GL,60.1432,-45.2371,42.31,78,98,9.84,overcast clouds
173,Port Hedland,AU,-20.3167,118.5667,64.45,48,0,8.05,clear sky
174,Nanakuli,US,21.3906,-158.1547,85.98,47,100,9.22,overcast clouds
175,Kuching,MY,1.55,110.3333,77.22,94,20,2.3,few clouds
176,Qaqortoq,GL,60.7167,-46.0333,41.99,73,100,1.97,overcast clouds
177,Butaritari,KI,3.0707,172.7902,82.4,75,71,16.62,light rain
178,Berlevag,NO,70.8578,29.0864,48.2,87,75,5.75,broken clouds
179,Savelugu,GH,9.6244,-0.8253,79.25,75,66,5.55,broken clouds
180,Cherskiy,RU,68.75,161.3,47.88,53,99,2.1,overcast clouds
181,Linxia,CN,35.6003,103.2064,71.47,63,76,1.1,broken clouds
182,Lafayette,US,30.2335,-92.0668,91.53,57,0,4.61,clear sky
183,Sistranda,NO,63.7256,8.834,57.16,89,4,17.74,clear sky
184,Camacha,PT,33.0833,-16.3333,62.02,94,40,13.8,scattered clouds
185,Port-Gentil,GA,-0.7193,8.7815,72.82,83,98,12.48,light rain
186,Tiksi,RU,71.6872,128.8694,32.5,94,100,1.66,snow
187,Victoria,HK,22.2855,114.1577,88.32,80,100,8.01,overcast clouds
188,Svetlyy,RU,54.675,20.1347,61.97,86,66,9.86,broken clouds
189,Saldanha,ZA,-33.0117,17.9442,42.85,79,0,9.98,clear sky
190,Riverton,US,40.5219,-111.9391,87.57,26,40,7.0,scattered clouds
191,Ayan,RU,56.45,138.1667,47.7,97,100,12.28,overcast clouds
192,Malanje,AO,-9.5402,16.341,62.96,53,34,2.68,scattered clouds
193,Ilulissat,GL,69.2167,-51.1,48.22,57,75,2.3,broken clouds
194,Sete,FR,43.4018,3.6966,73.26,60,38,3.78,scattered clouds
195,Ust-Kuyga,RU,70.0167,135.6,49.32,52,97,9.51,overcast clouds
196,Linda,US,39.1277,-121.5508,105.73,12,0,10.36,clear sky
197,Katobu,ID,-4.9408,122.5276,78.01,87,88,4.21,overcast clouds
198,Chokurdakh,RU,70.6333,147.9167,40.33,53,99,14.85,overcast clouds
199,Ternate,ID,0.8,127.4,80.83,77,99,2.35,overcast clouds
200,Halifax,CA,44.6453,-63.5724,63.52,99,100,5.99,overcast clouds
201,Cockburn Town,TC,21.4612,-71.1419,82.15,78,43,15.23,scattered clouds
202,Mancio Lima,BR,-7.6142,-72.8958,75.13,84,57,0.67,broken clouds
203,Soyo,AO,-6.1349,12.3689,70.5,92,46,6.46,scattered clouds
204,Dudinka,RU,69.4058,86.1778,58.17,59,16,15.46,few clouds
205,Cascais,PT,38.6979,-9.4215,67.46,75,24,15.01,few clouds
206,Constitucion,CL,-35.3333,-72.4167,53.78,89,61,3.36,broken clouds
207,Karpathos,GR,35.507,27.2132,75.16,69,0,20.71,clear sky
208,Moron,AR,-34.6534,-58.6198,49.96,67,100,4.65,overcast clouds
209,Chalus,IR,36.655,51.4204,72.86,88,40,0.0,scattered clouds
210,Zhezkazgan,KZ,47.8043,67.7144,78.82,33,7,8.81,clear sky
211,Zhigansk,RU,66.7697,123.3711,70.92,55,72,13.65,broken clouds
212,Konstantinovka,RU,49.6167,127.9833,69.94,82,94,7.0,overcast clouds
213,La Tuque,CA,47.4334,-72.7824,75.45,69,53,3.44,broken clouds
214,Lavrentiya,RU,65.5833,-171.0,42.51,92,100,9.8,overcast clouds
215,Ribeira Brava,PT,32.65,-17.0667,68.63,78,4,5.03,clear sky
